,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,lata,PT,40.1629,-8.3327,1585239110.0,75.0,67.0,59.0,11.41
1,avarua,CK,-21.2078,-159.775,1585239300.0,20.0,94.0,73.4,2.24
2,kaitangata,NZ,-46.2817,169.8464,1585239073.0,100.0,78.0,48.99,1.99
3,rikitea,PF,-23.1203,-134.9692,1585239300.0,89.0,88.0,75.33,24.49
4,ushuaia,AR,-54.8,-68.3,1585239291.0,40.0,53.0,51.8,16.11
5,terra santa,BR,-2.1042,-56.4869,1585239263.0,100.0,66.0,86.67,4.25
6,mataura,NZ,-46.1927,168.8643,1585239375.0,98.0,79.0,48.99,3.18
7,upernavik,GL,72.7868,-56.1549,1585239268.0,100.0,72.0,-1.89,10.87
8,praia da vitoria,PT,38.7333,-27.0667,1585239263.0,40.0,58.0,59.0,8.55
9,barrow,US,71.2906,-156.7887,1585239370.0,1.0,75.0,-18.4,11.41
10,hobart,AU,-42.8794,147.3294,1585238943.0,54.0,81.0,48.99,3.36
11,jalu,LY,29.0331,21.5482,1585238703.0,0.0,36.0,77.31,24.09
12,sur,OM,22.5667,59.5289,1585238943.0,57.0,68.0,72.99,7.85
13,iqaluit,CA,63.7506,-68.5145,1585239371.0,90.0,78.0,10.0,5.82
14,tuktoyaktuk,CA,69.4541,-133.0374,1585239374.0,90.0,83.0,-7.6,14.99
15,portland,US,45.5234,-122.6762,1585239362.0,90.0,100.0,42.01,4.03
16,kavaratti,IN,10.5669,72.642,1585238731.0,53.0,66.0,83.97,3.91
17,kodiak,US,57.79,-152.4072,1585239370.0,1.0,86.0,42.8,8.05
19,baracoa,CU,20.3467,-74.4958,1585239282.0,32.0,71.0,76.59,5.48
20,coquimbo,CL,-29.9533,-71.3436,1585239295.0,90.0,77.0,64.4,8.05
21,suraabad,AZ,40.8192,49.4687,1585238716.0,0.0,87.0,48.2,6.93
22,colac,AU,-38.3333,143.5833,1585239068.0,53.0,98.0,55.0,1.01
23,thompson,CA,55.7435,-97.8558,1585239374.0,75.0,73.0,23.0,6.93
24,new norfolk,AU,-42.7826,147.0587,1585239063.0,97.0,81.0,48.99,3.36
25,goderich,CA,43.7501,-81.7165,1585239371.0,72.0,85.0,51.01,13.82
26,butaritari,KI,3.0707,172.7902,1585239059.0,100.0,84.0,80.19,25.66
27,hithadhoo,MV,-0.6,73.0833,1585238733.0,16.0,70.0,83.97,11.52
28,severo-kurilsk,RU,50.6789,156.125,1585239059.0,100.0,95.0,31.59,12.68
30,hasaki,JP,35.7333,140.8333,1585238958.0,0.0,93.0,44.6,2.24
31,alofi,NU,-19.0595,-169.9187,1585239300.0,40.0,100.0,66.2,1.12
32,busselton,AU,-33.65,115.3333,1585239059.0,23.0,26.0,77.0,10.0
33,nikolskoye,RU,59.7035,30.7861,1585238714.0,20.0,56.0,45.0,6.71
34,atuona,PF,-9.8,-139.0333,1585239300.0,33.0,67.0,82.71,10.02
35,fukue,JP,32.6881,128.8419,1585238957.0,100.0,88.0,67.41,27.98
36,taoudenni,ML,22.6783,-3.9836,1585239078.0,0.0,9.0,87.93,8.25
37,albany,US,42.6001,-73.9662,1585239344.0,20.0,49.0,51.01,6.93
38,qaanaaq,GL,77.484,-69.3632,1585239291.0,100.0,81.0,-11.07,4.92
39,arraial do cabo,BR,-22.9661,-42.0278,1585239277.0,40.0,69.0,78.8,8.05
40,shelburne,CA,44.0787,-80.2041,1585239374.0,90.0,71.0,52.0,8.05
41,saint anthony,US,45.0205,-93.218,1585239344.0,1.0,69.0,42.01,3.36
42,saint george,US,37.1041,-113.5841,1585239362.0,20.0,42.0,48.2,8.05
43,kitui,KE,-1.367,38.0106,1585238943.0,99.0,72.0,77.85,7.25
44,slyudyanka,RU,51.6594,103.7061,1585238957.0,100.0,91.0,4.95,4.7
45,najran,SA,17.4924,44.1277,1585238943.0,0.0,19.0,86.0,9.17
46,tahoua,NE,14.8888,5.2692,1585238959.0,11.0,10.0,98.6,13.87
47,belyy yar,RU,53.6039,91.3903,1585238734.0,0.0,46.0,28.4,4.47
48,isiro,CD,2.7739,27.616,1585238943.0,57.0,40.0,88.65,1.61
50,bluff,NZ,-46.6,168.3333,1585239073.0,63.0,79.0,48.99,4.65
51,katherine,AU,-14.4667,132.2667,1585239059.0,11.0,69.0,80.6,5.82
52,bulgan,MN,48.8125,103.5347,1585238957.0,39.0,47.0,14.85,4.68
53,te anau,NZ,-45.4167,167.7167,1585239072.0,95.0,89.0,44.01,5.73
54,sarkand,KZ,45.41,79.9186,1585238953.0,0.0,52.0,35.37,2.84
55,nome,US,64.5011,-165.4064,1585239370.0,1.0,76.0,14.0,5.82
56,liverpool,GB,53.4106,-2.9779,1585238958.0,0.0,26.0,63.0,5.82
57,gusau,NG,12.1628,6.6614,1585238959.0,30.0,12.0,98.73,9.04
59,kropotkin,RU,45.4375,40.5756,1585238945.0,61.0,45.0,55.53,13.47
60,bilibino,RU,68.0546,166.4372,1585239059.0,51.0,93.0,-9.09,4.07
61,aklavik,CA,68.2191,-135.0107,1585239370.0,90.0,70.0,-0.4,14.99
63,richards bay,ZA,-28.783,32.0377,1585238948.0,100.0,74.0,74.43,32.77
64,pevek,RU,69.7008,170.3133,1585239059.0,87.0,99.0,-5.67,1.54
65,longavi,CL,-35.9667,-71.6833,1585239295.0,0.0,21.0,81.09,4.05
67,saint-augustin,CA,51.226,-58.6502,1585239374.0,100.0,88.0,29.43,6.58
68,erzin,TR,36.9559,36.2,1585238944.0,90.0,40.0,71.6,9.17
69,kapaa,US,22.0752,-159.319,1585239363.0,40.0,69.0,73.4,17.22
70,port blair,IN,11.6667,92.75,1585238950.0,26.0,73.0,81.45,11.05
71,hilo,US,19.7297,-155.09,1585239363.0,90.0,88.0,66.2,5.82
72,castro,BR,-24.7911,-50.0119,1585239272.0,30.0,37.0,75.69,3.78
73,port alfred,ZA,-33.5906,26.891,1585238948.0,61.0,79.0,62.01,8.99
75,mar del plata,AR,-38.0023,-57.5575,1585239268.0,40.0,77.0,69.8,17.22
76,kattivakkam,IN,13.2167,80.3167,1585238951.0,20.0,70.0,84.2,9.17
77,gravdal,NO,68.1214,13.5031,1585239241.0,75.0,75.0,41.0,10.29
78,yellowknife,CA,62.456,-114.3525,1585239375.0,75.0,72.0,15.8,14.99
79,tura,IN,25.5198,90.2201,1585238949.0,0.0,38.0,78.93,3.38
80,east london,ZA,-33.0153,27.9116,1585238948.0,26.0,63.0,62.6,19.46
81,nabire,ID,-3.3667,135.4833,1585238954.0,100.0,95.0,73.71,1.68
82,san quintin,MX,30.4833,-115.95,1585239295.0,100.0,72.0,56.61,20.87
83,maceio,BR,-9.6658,-35.7353,1585239267.0,75.0,62.0,87.8,6.93
84,hermanus,ZA,-34.4187,19.2345,1585238965.0,67.0,65.0,66.0,5.01
87,adrar,MR,20.5022,-10.0711,1585239077.0,86.0,12.0,85.05,3.76
88,naze,JP,28.3667,129.4833,1585238957.0,75.0,77.0,69.8,10.29
89,codrington,AU,-38.2667,141.9667,1585239068.0,100.0,79.0,58.59,11.9
90,vaini,TO,-21.2,-175.2,1585239300.0,20.0,88.0,73.4,4.7
91,honiara,SB,-9.4333,159.95,1585238958.0,20.0,94.0,75.2,2.24
92,punta arenas,CL,-53.15,-70.9167,1585239295.0,75.0,62.0,53.6,28.86
93,belen,TR,36.4891,36.2233,1585238944.0,75.0,53.0,71.6,3.36
94,aykhal,RU,66.0,111.5,1585238957.0,2.0,77.0,1.4,2.24
95,skibbereen,IE,51.55,-9.2667,1585239174.0,40.0,58.0,55.4,10.29
96,solnechnyy,RU,50.7214,136.6319,1585239051.0,100.0,98.0,31.23,5.44
97,vardo,NO,70.3705,31.1107,1585238726.0,75.0,64.0,37.4,21.92
98,newtonmore,GB,57.066,-4.1192,1585239096.0,40.0,66.0,48.2,3.36
99,ahipara,NZ,-35.1667,173.1667,1585239073.0,29.0,67.0,65.25,9.57
100,cehegin,ES,38.0924,-1.7985,1585238954.0,20.0,28.0,68.0,10.29
101,dunedin,NZ,-45.8742,170.5036,1585238959.0,66.0,78.0,53.01,18.9
102,leiyang,CN,26.4024,112.8591,1585238948.0,6.0,79.0,72.81,5.77
103,chokurdakh,RU,70.6333,147.9167,1585239059.0,100.0,86.0,-11.25,4.85
104,muros,ES,42.7762,-9.0603,1585239232.0,0.0,58.0,64.99,10.29
105,wasilla,US,61.5814,-149.4394,1585239370.0,20.0,86.0,30.99,2.04
106,sa kaeo,TH,13.8141,102.0722,1585238953.0,74.0,63.0,83.79,3.51
107,bam,IR,29.106,58.357,1585238943.0,100.0,33.0,65.07,8.39
108,rajo khanani,PK,24.9841,68.8536,1585238729.0,100.0,51.0,70.83,21.05
109,whitehorse,CA,60.7161,-135.0538,1585239374.0,20.0,85.0,24.01,4.7
110,rapid valley,US,44.0625,-103.1463,1585239363.0,90.0,87.0,35.01,6.93
111,omboue,GA,-1.5746,9.2618,1585239077.0,100.0,66.0,85.77,7.23
112,palamas,GR,39.4667,22.0833,1585238706.0,90.0,87.0,48.2,4.14
113,twante,MM,16.7167,95.9333,1585238953.0,0.0,69.0,80.6,8.05
114,dingle,PH,10.9995,122.6711,1585238737.0,1.0,79.0,76.41,12.35
116,namibe,AO,-15.1961,12.1522,1585239262.0,75.0,78.0,78.8,13.87
117,montataire,FR,49.2561,2.4389,1585239195.0,0.0,29.0,53.01,16.11
118,georgetown,MY,5.4112,100.3354,1585238955.0,20.0,88.0,82.4,1.43
119,saldanha,ZA,-33.0117,17.9442,1585238965.0,0.0,40.0,68.0,24.16
120,san patricio,MX,19.2167,-104.7,1585239295.0,75.0,94.0,75.2,5.82
121,alappuzha,IN,9.49,76.3264,1585238952.0,100.0,80.0,80.01,2.57
122,juneau,US,58.3019,-134.4197,1585239362.0,90.0,93.0,36.0,3.36
123,provideniya,RU,64.3833,-173.3,1585239300.0,100.0,95.0,18.63,5.68
124,mareeba,AU,-17.0,145.4333,1585239067.0,75.0,94.0,73.99,13.87
125,camana,PE,-16.6228,-72.7111,1585239295.0,100.0,79.0,66.87,6.71
126,haines junction,CA,60.7522,-137.5108,1585239371.0,85.0,97.0,10.89,2.06
127,talnakh,RU,69.4865,88.3972,1585238953.0,75.0,92.0,24.8,24.61
128,bredasdorp,ZA,-34.5322,20.0403,1585238728.0,93.0,32.0,66.2,10.29
129,huarmey,PE,-10.0681,-78.1522,1585239295.0,59.0,63.0,77.49,6.31
130,qaqortoq,GL,60.7167,-46.0333,1585239268.0,20.0,29.0,24.8,2.24
131,kenai,US,60.5544,-151.2583,1585239370.0,90.0,85.0,19.4,4.12
132,lunenburg,CA,44.3835,-64.3155,1585239371.0,100.0,95.0,35.01,4.0
133,crotone,IT,39.0851,17.1178,1585238884.0,75.0,82.0,55.4,3.36
134,umm kaddadah,SD,13.6017,26.6876,1585238710.0,0.0,6.0,101.07,3.49
135,arman,RU,59.7,150.1667,1585239059.0,0.0,73.0,18.81,7.65
136,bathsheba,BB,13.2167,-59.5167,1585239263.0,40.0,55.0,86.0,14.99
137,pringsewu,ID,-5.3582,104.9744,1585238735.0,100.0,97.0,73.35,2.53
139,pisco,PE,-13.7,-76.2167,1585239295.0,90.0,30.0,73.0,6.93
140,kurduvadi,IN,18.0833,75.4333,1585238951.0,100.0,23.0,92.25,6.4
141,tuatapere,NZ,-46.1333,167.6833,1585239072.0,99.0,79.0,48.99,2.08
142,nelson bay,AU,-32.7167,152.15,1585239063.0,90.0,100.0,64.0,5.82
143,botou,CN,38.0667,116.5667,1585238948.0,98.0,22.0,46.71,8.86
144,norman wells,CA,65.282,-126.8329,1585239372.0,75.0,83.0,-4.0,3.36
145,torbay,CA,47.6666,-52.7314,1585239374.0,75.0,87.0,36.0,12.75
146,chuy,UY,-33.6971,-53.4616,1585239268.0,100.0,73.0,74.61,7.99
147,saint-pierre,RE,-21.3393,55.4781,1585238948.0,0.0,74.0,78.8,8.05
148,oytal,KZ,42.9057,73.2697,1585238734.0,0.0,48.0,43.47,3.89
149,moose factory,CA,51.2585,-80.6094,1585239372.0,90.0,72.0,12.2,4.81
150,rosetta,EG,31.4044,30.4164,1585238944.0,40.0,72.0,64.4,13.87
151,disna,BY,55.568,28.1971,1585238717.0,0.0,43.0,47.79,3.04
152,cayenne,GF,4.9333,-52.3333,1585239263.0,90.0,83.0,80.6,3.36
153,jamestown,US,42.097,-79.2353,1585239345.0,1.0,62.0,57.99,13.87
154,hailar,CN,49.2,119.7,1585238948.0,83.0,70.0,13.41,16.6
155,toamasina,MG,-18.1667,49.3833,1585238948.0,40.0,83.0,80.6,5.48
156,kochki,RU,54.3358,80.4806,1585238733.0,25.0,88.0,19.17,15.1
157,alice springs,AU,-23.7,133.8833,1585238943.0,0.0,46.0,71.6,5.82
158,vangaindrano,MG,-23.35,47.6,1585238948.0,67.0,95.0,75.33,4.03
159,ilulissat,GL,69.2167,-51.1,1585239268.0,75.0,65.0,3.2,23.04
160,clyde river,CA,70.4692,-68.5914,1585239371.0,75.0,64.0,-0.4,19.46
161,cape town,ZA,-33.9258,18.4232,1585238965.0,20.0,42.0,66.0,19.46
162,puerto ayora,EC,-0.7393,-90.3518,1585239286.0,40.0,78.0,81.0,11.41
163,thinadhoo,MV,0.5333,72.9333,1585238733.0,16.0,71.0,83.79,13.18
164,svetlogorsk,BY,52.6333,29.7333,1585239502.0,30.0,59.0,42.57,5.91
165,hambantota,LK,6.1241,81.1185,1585238730.0,20.0,83.0,78.8,6.93
166,port hawkesbury,CA,45.6169,-61.3485,1585239374.0,90.0,92.0,33.01,16.11
167,cleethorpes,GB,53.5605,-0.0323,1585238958.0,0.0,62.0,55.4,10.29
168,karasjok,NO,69.4719,25.5112,1585238726.0,40.0,55.0,39.2,41.38
169,hailey,US,43.5196,-114.3153,1585239362.0,5.0,57.0,21.2,9.17
170,mahajanga,MG,-15.7167,46.3167,1585238948.0,20.0,74.0,84.2,8.05
171,cidreira,BR,-30.1811,-50.2056,1585239272.0,79.0,76.0,72.81,12.59
172,port victoria,KE,0.0939,33.9756,1585238706.0,98.0,74.0,73.89,9.35
173,santo antonio do ica,BR,-3.1022,-67.9397,1585239286.0,100.0,92.0,78.75,0.45
174,rantoul,US,40.3084,-88.1559,1585239336.0,75.0,100.0,57.2,8.05
175,warrington,GB,53.3925,-2.5802,1585238959.0,0.0,26.0,63.0,5.82
176,moroto,UG,2.5345,34.6666,1585238706.0,97.0,58.0,76.41,8.28
177,poltavka,RU,54.3663,71.7632,1585238733.0,78.0,70.0,25.65,16.06
178,carroll,US,39.5501,-77.0164,1585239311.0,90.0,71.0,54.0,5.82
179,sept-iles,CA,50.2001,-66.3821,1585239374.0,20.0,64.0,35.6,13.87
180,lebu,CL,-37.6167,-73.65,1585239295.0,0.0,50.0,72.63,4.59
181,barentu,ER,15.1139,37.5928,1585238944.0,11.0,6.0,93.87,11.61
182,cabedelo,BR,-6.9811,-34.8339,1585239267.0,40.0,66.0,87.8,6.93
183,victoria,HK,22.2855,114.1577,1585238956.0,20.0,78.0,77.0,5.82
184,gvardeysk,RU,54.6477,21.0651,1585238715.0,32.0,45.0,46.4,6.71
185,keti bandar,PK,24.1447,67.4497,1585238729.0,100.0,57.0,75.15,20.42
187,cabo san lucas,MX,22.8909,-109.9124,1585239295.0,5.0,41.0,79.0,6.22
188,dikson,RU,73.5069,80.5464,1585238734.0,100.0,93.0,21.15,12.03
189,muroto,JP,33.2833,134.15,1585238957.0,100.0,98.0,57.15,8.79
190,cesvaine,LV,56.9667,26.3167,1585238711.0,0.0,46.0,47.43,5.37
191,port elizabeth,ZA,-33.918,25.5701,1585238948.0,7.0,55.0,64.4,29.97
192,makakilo city,US,21.3469,-158.0858,1585239363.0,90.0,82.0,73.4,4.7
193,presque isle,US,46.6811,-68.0159,1585239337.0,1.0,59.0,43.0,6.93
194,port moresby,PG,-9.4431,147.1797,1585238958.0,20.0,100.0,77.0,6.93
195,turukhansk,RU,65.8167,87.9833,1585238733.0,99.0,93.0,30.87,10.18
196,jijiga,ET,9.35,42.8,1585238944.0,3.0,34.0,71.37,12.39
197,tecoanapa,MX,16.5167,-98.75,1585239277.0,0.0,43.0,87.03,0.72
198,carnarvon,AU,-24.8667,113.6333,1585239059.0,27.0,94.0,78.8,12.75
199,ribas do rio pardo,BR,-20.4431,-53.7592,1585239269.0,0.0,64.0,81.27,11.68
200,agirish,RU,61.9247,63.0231,1585238734.0,33.0,80.0,31.95,11.27
201,goya,AR,-29.14,-59.2626,1585239268.0,100.0,33.0,84.69,4.99
202,narsaq,GL,60.9167,-46.05,1585239268.0,20.0,29.0,24.8,2.24
203,nakambala,ZM,-15.8324,27.7799,1585238728.0,100.0,81.0,74.25,3.22
205,akdepe,TM,42.0551,59.3788,1585238716.0,0.0,11.0,50.0,4.7
206,port macquarie,AU,-31.4333,152.9167,1585238943.0,31.0,100.0,62.6,6.93
207,guarapari,BR,-20.6667,-40.4975,1585239272.0,40.0,65.0,80.6,11.41
208,cherskiy,RU,68.75,161.3,1585239059.0,50.0,100.0,-15.21,1.9
209,tautira,PF,-17.7333,-149.15,1585239300.0,100.0,83.0,78.8,2.24
210,san vicente,AR,-26.6167,-54.1333,1585239268.0,16.0,34.0,84.51,4.29
212,belmonte,BR,-15.8631,-38.8828,1585239277.0,75.0,61.0,82.4,9.17
214,tucumcari,US,35.1717,-103.725,1585239361.0,1.0,32.0,71.01,12.75
215,pacifica,US,37.6138,-122.4869,1585239356.0,20.0,66.0,50.0,3.36
217,mahebourg,MU,-20.4081,57.7,1585238948.0,40.0,78.0,80.6,6.93
218,sao miguel do araguaia,BR,-13.275,-50.1628,1585239268.0,8.0,71.0,83.97,4.12
219,chicama,PE,-7.8447,-79.1469,1585239291.0,38.0,78.0,73.4,9.17
220,stettler,CA,52.3168,-112.7186,1585239374.0,54.0,78.0,18.63,10.96
221,san-pedro,CI,4.7485,-6.6363,1585238947.0,1.0,75.0,82.53,9.37
223,port lincoln,AU,-34.7333,135.8667,1585239056.0,100.0,71.0,62.19,7.92
224,catarama,EC,-1.5833,-79.4667,1585239286.0,95.0,85.0,79.29,2.53
225,candelaria,PH,13.9311,121.4233,1585238955.0,49.0,86.0,80.01,1.01
226,fairbanks,US,64.8378,-147.7164,1585239370.0,75.0,57.0,23.0,19.46
227,santo augusto,BR,-27.8508,-53.7772,1585239269.0,14.0,33.0,87.8,8.05
228,margate,GB,51.3813,1.3862,1585238958.0,0.0,49.0,50.0,14.99
230,yenagoa,NG,4.9247,6.2642,1585238959.0,84.0,49.0,91.17,3.18
231,tateyama,JP,34.9833,139.8667,1585238956.0,9.0,93.0,53.6,3.36
232,manturovo,RU,58.3353,44.7619,1585238945.0,73.0,86.0,38.97,6.42
233,ancud,CL,-41.8697,-73.8203,1585239295.0,0.0,59.0,66.2,4.7
234,san cristobal,VE,7.7669,-72.225,1585239286.0,40.0,69.0,82.4,4.7
235,caravelas,BR,-17.7125,-39.2481,1585239272.0,33.0,69.0,78.75,16.75
236,miranda de ebro,ES,42.6865,-2.947,1585238955.0,75.0,45.0,53.6,12.75
237,broome,US,42.2506,-75.833,1585239344.0,1.0,75.0,51.01,6.93
238,tungor,RU,53.3808,142.9564,1585239059.0,86.0,98.0,20.97,8.81
239,koshurnikovo,RU,54.1667,93.3,1585238733.0,67.0,87.0,18.27,3.18
240,mubende,UG,0.5606,31.39,1585238943.0,91.0,69.0,74.61,2.39
241,constitucion,CL,-35.3333,-72.4167,1585239295.0,0.0,60.0,67.95,6.11
242,oussouye,SN,12.485,-16.5469,1585239073.0,62.0,51.0,96.8,6.93
243,denizli,TR,37.8402,29.0698,1585238709.0,75.0,44.0,60.8,12.75
244,novopokrovka,UA,49.8425,36.5477,1585238723.0,0.0,20.0,53.6,11.18
246,pratapgarh,IN,24.0333,74.7833,1585238950.0,100.0,68.0,72.63,11.9
247,camacha,PT,33.0833,-16.3333,1585239073.0,20.0,67.0,62.6,3.36
248,nanortalik,GL,60.1432,-45.2371,1585239268.0,0.0,49.0,24.57,17.47
249,guerrero negro,MX,27.9769,-114.0611,1585239300.0,100.0,67.0,59.85,22.26
250,alad,PH,12.6168,122.2475,1585238741.0,91.0,79.0,79.65,14.92
251,conceicao do araguaia,BR,-8.2578,-49.2647,1585239267.0,75.0,70.0,84.2,5.82
252,ribeira grande,PT,38.5167,-28.7,1585239263.0,98.0,68.0,51.75,3.11
253,wanning,CN,18.8003,110.3967,1585238949.0,0.0,87.0,76.59,8.95
254,lagoa,PT,39.05,-27.9833,1585239263.0,100.0,58.0,54.99,8.81
255,luderitz,NA,-26.6481,15.1594,1585238965.0,12.0,49.0,69.8,28.86
257,plettenberg bay,ZA,-34.0527,23.3716,1585238948.0,10.0,59.0,60.57,12.97
258,ukiah,US,39.1502,-123.2078,1585239356.0,1.0,83.0,42.01,2.48
259,conde,BR,-7.2597,-34.9075,1585239263.0,40.0,66.0,87.8,6.93
260,nemuro,JP,43.3236,145.575,1585238958.0,0.0,82.0,29.79,6.85
261,nagato,JP,34.3833,131.2,1585238957.0,75.0,93.0,60.8,11.41
262,norsup,VU,-16.0667,167.3833,1585239060.0,75.0,100.0,75.2,2.24
263,yining,CN,29.0361,114.5636,1585238741.0,100.0,89.0,66.33,2.71
264,flinders,AU,-34.5833,150.8552,1585239375.0,75.0,100.0,63.0,4.7
265,santiago,CL,-33.4569,-70.6483,1585239295.0,0.0,44.0,81.0,4.7
267,teacapan,MX,22.55,-105.75,1585239295.0,0.0,59.0,75.87,2.42
268,kirakira,SB,-10.4544,161.9205,1585239072.0,99.0,81.0,78.21,3.04
269,manokwari,ID,-0.8667,134.0833,1585238954.0,95.0,88.0,73.53,4.56
270,iranshahr,IR,27.2025,60.6848,1585238948.0,40.0,25.0,77.0,11.41
271,gallup,US,35.5281,-108.7426,1585239356.0,20.0,34.0,51.8,27.51
272,hamilton,US,39.1834,-84.5333,1585239323.0,1.0,59.0,63.0,9.17
273,morehead,US,37.2711,-87.1764,1585239311.0,1.0,52.0,69.8,9.17
274,bathurst,AU,-33.4166,149.5806,1585238943.0,37.0,99.0,52.0,1.99
275,gat,IL,31.61,34.7642,1585238943.0,75.0,60.0,69.8,5.82
276,bethel,US,41.3712,-73.414,1585239351.0,1.0,56.0,52.0,11.41
277,kiunga,PG,-6.1219,141.2906,1585239059.0,97.0,98.0,74.07,0.81
279,kurskaya,RU,44.05,44.45,1585238711.0,66.0,47.0,53.19,12.57
280,lida,BY,53.8833,25.2997,1585238946.0,0.0,41.0,46.71,3.65
281,rabak,SD,13.1809,32.74,1585238944.0,51.0,5.0,104.85,11.21
282,poum,NC,-20.2333,164.0167,1585239060.0,0.0,79.0,79.29,22.59
283,manzil salim,TN,35.8567,8.4765,1585239078.0,40.0,32.0,53.6,9.17
284,panguna,PG,-6.3164,155.4848,1585239059.0,100.0,89.0,69.93,2.3
285,opuwo,NA,-18.0607,13.84,1585239262.0,97.0,37.0,84.51,7.38
286,kruisfontein,ZA,-34.0033,24.7314,1585238948.0,0.0,56.0,59.49,18.63
287,victor harbor,AU,-35.5667,138.6167,1585239056.0,100.0,81.0,59.0,3.78
288,deputatskiy,RU,69.3,139.9,1585239055.0,100.0,100.0,-14.67,2.59
289,acapulco,MX,16.8634,-99.8901,1585239282.0,5.0,61.0,82.4,4.7
290,rio gallegos,AR,-51.6226,-69.2181,1585239291.0,100.0,48.0,60.8,9.17
291,diadema,BR,-23.6861,-46.6228,1585239272.0,20.0,44.0,80.6,3.36
292,mount isa,AU,-20.7333,139.5,1585238943.0,32.0,37.0,82.4,10.29
293,kahului,US,20.8947,-156.47,1585239363.0,1.0,82.0,68.0,18.34
294,xining,CN,36.6167,101.7667,1585238949.0,1.0,41.0,31.05,8.95
295,bengkulu,ID,-3.8004,102.2655,1585238954.0,100.0,92.0,76.05,2.57
296,ballina,AU,-28.8667,153.5667,1585239072.0,90.0,93.0,66.2,6.93
297,san luis rio colorado,MX,32.4631,-114.7767,1585239295.0,40.0,38.0,59.0,16.11
298,anadyr,RU,64.75,177.4833,1585239059.0,90.0,92.0,23.0,44.74
299,komsomolskiy,UZ,40.4272,71.7189,1585238734.0,100.0,50.0,55.4,4.7
300,salinopolis,BR,-0.6136,-47.3561,1585239263.0,58.0,80.0,81.45,8.84
301,isetskoye,RU,56.4858,65.3226,1585238734.0,100.0,86.0,34.47,16.42
302,metro,ID,-5.1131,105.3067,1585238954.0,100.0,91.0,76.23,3.47
303,kendari,ID,-3.945,122.4989,1585238954.0,7.0,91.0,76.59,0.98
304,beatrice,US,40.2681,-96.747,1585239344.0,90.0,93.0,46.99,10.29
306,kuntaur,GM,13.6667,-14.8833,1585239078.0,23.0,7.0,104.85,0.89
307,palana,RU,59.1167,159.9667,1585239059.0,100.0,96.0,29.43,12.84
308,vao,NC,-22.6667,167.4833,1585239060.0,9.0,77.0,76.59,18.41
